order_id,trade_id,broker,symbol,isin,matched_qty,status,execution_slippage,allocated_brokerage,allocated_stt,total_cost
CLIENT1188,0,BROKER1CODE,JUBLPHARMA,INE700A01033,333,Matched,0,88.12,186.7,367414.24
CLIENT1211,0,BROKER1CODE,JUBLPHARMA,INE700A01033,2106,Matched,0,557.28,1180.76,2323646.84
CLIENT1203,0,BROKER1CODE,JUBLPHARMA,INE700A01033,2583,Matched,0,683.5,1448.2,2849942.93
CLIENT070,0,BROKER1CODE,JUBLPHARMA,INE700A01033,4428,Matched,0,1171.71,2482.63,4885616.44
CLIENT1202,0,BROKER1CODE,JUBLPHARMA,INE700A01033,2058,Partial,2493,544.57,1153.85,2270686.23
CLIENT1176,12,BROKER2CODE,JUBLPHARMA,INE700A01033,123,Matched,0,17.75,37.62,134740.37
CLIENT1218,12,BROKER2CODE,JUBLPHARMA,INE700A01033,123,Matched,0,17.75,37.62,134740.37
CLIENT1186,12,BROKER2CODE,JUBLPHARMA,INE700A01033,246,Matched,0,35.51,75.23,269480.74
CLIENT1188,12,BROKER2CODE,JUBLPHARMA,INE700A01033,333,Matched,0,48.06,101.84,364784.9
CLIENT1211,12,BROKER2CODE,JUBLPHARMA,INE700A01033,2106,Matched,0,303.97,644.05,2307018.02
CLIENT1203,12,BROKER2CODE,JUBLPHARMA,INE700A01033,2583,Matched,0,372.82,789.93,2829547.74
CLIENT070,12,BROKER2CODE,JUBLPHARMA,INE700A01033,4428,Matched,0,639.11,1354.16,4850653.28
CLIENT1202,12,BROKER2CODE,JUBLPHARMA,INE700A01033,4551,Matched,0,656.87,1391.78,4985393.65
CLIENT1243,12,BROKER2CODE,JUBLPHARMA,INE700A01033,4551,Matched,0,656.87,1391.78,4985393.65
CLIENT1174,12,BROKER2CODE,JUBLPHARMA,INE700A01033,2956,Partial,9344,426.65,904.0,3238150.65
CLIENT1176,17,BROKER3CODE,JUBLPHARMA,INE700A01033,123,Matched,0,24.59,52.1,136065.49
CLIENT1218,17,BROKER3CODE,JUBLPHARMA,INE700A01033,123,Matched,0,24.59,52.1,136065.49
CLIENT1186,17,BROKER3CODE,JUBLPHARMA,INE700A01033,246,Matched,0,49.18,104.2,272130.98
CLIENT1188,17,BROKER3CODE,JUBLPHARMA,INE700A01033,333,Matched,0,66.57,141.05,368372.42
CLIENT1211,17,BROKER3CODE,JUBLPHARMA,INE700A01033,2106,Matched,0,421.01,892.04,2329706.65
CLIENT1203,17,BROKER3CODE,JUBLPHARMA,INE700A01033,2583,Matched,0,516.37,1094.08,2857375.25
CLIENT070,17,BROKER3CODE,JUBLPHARMA,INE700A01033,4428,Matched,0,885.2,1875.57,4898357.57
CLIENT1202,17,BROKER3CODE,JUBLPHARMA,INE700A01033,4551,Matched,0,909.79,1927.67,5034423.06
CLIENT1243,17,BROKER3CODE,JUBLPHARMA,INE700A01033,1391,Partial,3160,278.07,589.19,1538756.86
CLIENT1356,8,BROKER1CODE,CDSL,INE736A01011,1410,Matched,0,1105.58,2342.29,2566781.62
CLIENT006,8,BROKER1CODE,CDSL,INE736A01011,2600,Matched,0,2038.66,4319.12,4733072.5
CLIENT004,8,BROKER1CODE,CDSL,INE736A01011,2875,Matched,0,2254.29,4775.95,5233685.94
CLIENT1186,8,BROKER1CODE,CDSL,INE736A01011,3500,Matched,0,2744.35,5814.2,6371443.75
CLIENT1176,8,BROKER1CODE,CDSL,INE736A01011,3502,Matched,0,2745.92,5817.52,6375084.57
CLIENT1188,8,BROKER1CODE,CDSL,INE736A01011,3625,Matched,0,2842.36,6021.85,6598995.31
CLIENT070,8,BROKER1CODE,CDSL,INE736A01011,3633,Matched,0,2848.63,6035.14,6613558.61
CLIENT1243,8,BROKER1CODE,CDSL,INE736A01011,3900,Matched,0,3057.99,6478.68,7099608.75
CLIENT1218,8,BROKER1CODE,CDSL,INE736A01011,4125,Matched,0,3234.41,6852.45,7509201.56
CLIENT1205,8,BROKER1CODE,CDSL,INE736A01011,830,Partial,4295,650.8,1378.8,1510942.37
CLIENT1356,14,BROKER2CODE,CDSL,INE736A01011,1410,Matched,0,1326.7,2810.75,2577486.15
CLIENT006,14,BROKER2CODE,CDSL,INE736A01011,2600,Matched,0,2446.39,5182.94,4752811.33
CLIENT004,14,BROKER2CODE,CDSL,INE736A01011,2875,Matched,0,2705.14,5731.14,5255512.53
CLIENT1186,14,BROKER2CODE,CDSL,INE736A01011,3500,Matched,0,3293.22,6977.04,6398015.26
CLIENT1176,14,BROKER2CODE,CDSL,INE736A01011,3502,Matched,0,3295.1,6981.03,6401671.27
CLIENT1188,14,BROKER2CODE,CDSL,INE736A01011,3625,Matched,0,3410.83,7226.22,6626515.8
CLIENT070,14,BROKER2CODE,CDSL,INE736A01011,3633,Matched,0,3418.36,7242.17,6641139.84
CLIENT1243,14,BROKER2CODE,CDSL,INE736A01011,3855,Partial,45,3627.24,7684.71,7046956.81
CLIENT1356,18,BROKER3CODE,CDSL,INE736A01011,1410,Matched,0,2653.39,5621.5,2560374.89
CLIENT006,18,BROKER3CODE,CDSL,INE736A01011,2600,Matched,0,4892.78,10365.89,4721258.67
CLIENT004,18,BROKER3CODE,CDSL,INE736A01011,2875,Matched,0,5410.29,11462.28,5220622.57
CLIENT1186,18,BROKER3CODE,CDSL,INE736A01011,3500,Matched,0,6586.44,13954.08,6355540.52
CLIENT1176,18,BROKER3CODE,CDSL,INE736A01011,2115,Partial,1387,3980.09,8432.25,3840562.34
CLIENT070,1,BROKER1CODE,ECLERX,INE738I01010,60,Matched,0,158.03,334.76,216291.74
CLIENT1202,1,BROKER1CODE,ECLERX,INE738I01010,60,Matched,0,158.03,334.76,216291.74
CLIENT1243,1,BROKER1CODE,ECLERX,INE738I01010,60,Matched,0,158.03,334.76,216291.74
CLIENT1203,1,BROKER1CODE,ECLERX,INE738I01010,70,Matched,0,184.37,390.56,252340.37
CLIENT1211,1,BROKER1CODE,ECLERX,INE738I01010,70,Matched,0,184.37,390.56,252340.37
CLIENT1174,1,BROKER1CODE,ECLERX,INE738I01010,180,Matched,0,474.1,1004.29,648875.23
CLIENT1205,1,BROKER1CODE,ECLERX,INE738I01010,180,Matched,0,474.1,1004.29,648875.23
CLIENT1202,9,BROKER1CODE,LTFOODS,INE818H01020,228,Matched,0,220.47,467.19,93273.98
CLIENT1211,9,BROKER1CODE,LTFOODS,INE818H01020,360,Matched,0,348.11,737.68,147274.7
CLIENT1243,9,BROKER1CODE,LTFOODS,INE818H01020,444,Matched,0,429.34,909.8,181638.79
CLIENT070,9,BROKER1CODE,LTFOODS,INE818H01020,528,Matched,0,510.57,1081.92,216002.89
CLIENT1203,9,BROKER1CODE,LTFOODS,INE818H01020,720,Matched,0,696.23,1475.35,294549.4
CLIENT006,9,BROKER1CODE,LTFOODS,INE818H01020,888,Matched,0,858.68,1819.6,363277.59
CLIENT1174,9,BROKER1CODE,LTFOODS,INE818H01020,2220,Matched,0,2146.71,4549.0,908193.97
CLIENT1205,9,BROKER1CODE,LTFOODS,INE818H01020,2820,Matched,0,2726.9,5778.46,1153651.8
CLIENT1188,4,BROKER1CODE,PAYTM,INE982J01020,2030,Matched,0,105.36,223.16,1999629.44
CLIENT1203,4,BROKER1CODE,PAYTM,INE982J01020,2755,Matched,0,142.99,302.87,2713782.81
CLIENT1202,4,BROKER1CODE,PAYTM,INE982J01020,3625,Matched,0,188.14,398.51,3570766.86
CLIENT070,4,BROKER1CODE,PAYTM,INE982J01020,3770,Matched,0,195.67,414.45,3713597.53
CLIENT1243,4,BROKER1CODE,PAYTM,INE982J01020,3770,Matched,0,195.67,414.45,3713597.53
CLIENT1211,4,BROKER1CODE,PAYTM,INE982J01020,5220,Matched,0,270.92,573.85,5141904.28
CLIENT1205,4,BROKER1CODE,PAYTM,INE982J01020,8830,Partial,3205,458.28,970.71,8697895.55
